compound,orca_atom_index,element,x_angstrom,y_angstrom,z_angstrom,chelpg_charge_e,source_geometry,source_chelpg_xyz,source_output
compound_08,0,S,10.550905,3.549742,0.814596,-0.48877824,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/geometries/compound_08_wb97xd3_def2svp_cpcm_water_opt_min.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/charges/compound_08_hf_631gstar_gas_chelpg.chelpg.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/charges/compound_08_hf_631gstar_gas_chelpg.out
compound_08,1,C,9.687892,2.379997,-0.036619,0.19211290,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/geometries/compound_08_wb97xd3_def2svp_cpcm_water_opt_min.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/charges/compound_08_hf_631gstar_gas_chelpg.chelpg.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/charges/compound_08_hf_631gstar_gas_chelpg.out
compound_08,2,N,10.242600,1.492936,-0.857142,-0.53989315,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/geometries/compound_08_wb97xd3_def2svp_cpcm_water_opt_min.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/charges/compound_08_hf_631gstar_gas_chelpg.chelpg.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/charges/compound_08_hf_631gstar_gas_chelpg.out
compound_08,3,N,8.331487,2.319935,0.092320,-0.00028340,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/geometries/compound_08_wb97xd3_def2svp_cpcm_water_opt_min.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/charges/compound_08_hf_631gstar_gas_chelpg.chelpg.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/charges/compound_08_hf_631gstar_gas_chelpg.out
compound_08,4,N,7.633834,1.322912,-0.504493,-0.26679157,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/geometries/compound_08_wb97xd3_def2svp_cpcm_water_opt_min.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/charges/compound_08_hf_631gstar_gas_chelpg.chelpg.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/charges/compound_08_hf_631gstar_gas_chelpg.out
compound_08,5,C,6.362316,1.318251,-0.407185,0.12856194,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/geometries/compound_08_wb97xd3_def2svp_cpcm_water_opt_min.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/charges/compound_08_hf_631gstar_gas_chelpg.chelpg.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/charges/compound_08_hf_631gstar_gas_chelpg.out
compound_08,6,C,5.555409,0.188711,-0.977428,-0.46568802,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/geometries/compound_08_wb97xd3_def2svp_cpcm_water_opt_min.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/charges/compound_08_hf_631gstar_gas_chelpg.chelpg.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/charges/compound_08_hf_631gstar_gas_chelpg.out
compound_08,7,C,4.571150,-0.336467,0.091815,0.46846905,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/geometries/compound_08_wb97xd3_def2svp_cpcm_water_opt_min.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/charges/compound_08_hf_631gstar_gas_chelpg.chelpg.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/charges/compound_08_hf_631gstar_gas_chelpg.out
compound_08,8,S,3.189072,-1.129741,-0.792214,-0.38006468,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/geometries/compound_08_wb97xd3_def2svp_cpcm_water_opt_min.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/charges/compound_08_hf_631gstar_gas_chelpg.chelpg.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/charges/compound_08_hf_631gstar_gas_chelpg.out
compound_08,9,C,2.468089,-2.110755,0.571200,-0.20166449,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/geometries/compound_08_wb97xd3_def2svp_cpcm_water_opt_min.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/charges/compound_08_hf_631gstar_gas_chelpg.chelpg.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_08/charges/compound_08_hf_631gstar_gas_chelpg.out
